,id,name,translation
0,5524110011,Musical Instruments - Instrument Accessories - Orchestral Strings Accessories & Parts,乐器 - 乐器配件 - 管弦乐弦乐配件及零件
1,5524111011,Bags & Cases,琴包和琴盒 
2,5524113011,Bows,琴弓
3,5524114011,Cleaning & Care,清洁与保养
4,5524115011,"Endpins, Rests & Wheels",尾针、托架和轮子
5,5524116011,Parts,零件
6,5524118011,Rosin,松香
7,5524119011,Shoulder & Chin Rests,肩托和下巴托
8,5524120011,Stands & Hangers,支架和吊架
9,5524122011,Strings,琴弦
10,11967531,Cello,大提琴
11,11968761,Upright Bass,直立低音提琴
12,11968861,Viola,中提琴
13,11968951,Violin,小提琴
14,11967551,Cello,大提琴
15,11968771,Upright Bass,直立低音提琴
16,11968871,Viola,中提琴
17,11968961,Violin,小提琴
18,11967571,Cello,大提琴
19,11968801,Upright Bass,直立低音提琴
20,11968891,Viola,中提琴
21,11968981,Violin,小提琴
22,11967591,Cello,大提琴
23,11968811,Upright Bass,直立低音提琴
24,11968901,Viola,中提琴
25,11968991,Violin,小提琴
26,11968911,Viola,中提琴
27,11969001,Violin,小提琴
28,11967611,Cello,大提琴
29,11968831,Upright Bass,直立低音提琴
30,11968931,Viola,中提琴
31,11969021,Violin,小提琴
32,3880611,"Clothing, Shoes & Jewelry - Boys - Jewelry",服装、鞋类和首饰 - 男孩 - 首饰
33,3880801,Bracelets,手链
34,3880841,Necklaces,项链
35,3880851,Cuff Links,袖扣
36,3880891,Rings,戒指
37,3880921,Tie Clips,领带夹
38,3880961,"Clothing, Shoes & Jewelry - Girls - Jewelry",服装、鞋类及首饰 - 女孩 - 首饰
39,3881481,Anklets,脚链
40,3881461,Bracelets,手链
41,3881551,Brooches & Pins,胸针和别针
42,3881621,Earrings,耳环
43,3881811,Necklaces & Pendants,项链和吊坠
44,3881961,Rings,戒指
45,3881491,Bangle,手镯
46,3881501,Charm,吊饰
47,3881511,Cuff,袖口
48,3881521,Identification,标识
49,3881531,Link,链接
50,3881641,Ball,球形
51,3881661,Drop & Dangle,坠饰
52,3881731,Hoop,环状
53,3881791,Stud,螺柱
54,3881821,Chains,链条
55,3881831,Lockets,锁扣
56,3881851,Pendants,吊坠
57,7192394011,"Clothing, Shoes & Jewelry - Women - Jewelry",服装、鞋类及首饰 - 女士 - 首饰
58,7454897011,Anklets,脚链
59,7454898011,Bracelets,手链
60,7454907011,Brooches & Pins,胸针和别针
61,7454917011,Earrings,耳环
62,7454926011,Jewelry Sets,首饰套装
63,7454927011,Necklaces,项链
64,7454939011,Rings,戒指
65,9539894011,Wedding & Engagement,婚礼与订婚
66,14252013011,Smart Jewelry,智能珠宝
67,17880313011,Body Jewelry,身体饰品
68,7454899011,Bangle,手镯
69,7454908011,Charms & Charm Bracelets,吊饰和吊饰手链
70,7454900011,Cuff,袖口
71,7454901011,Identification,标识
72,7454902011,Link,链接
73,7454903011,Strand,串
74,7454904011,Stretch,弹力
75,7454905011,Tennis,网球
76,7454906011,Wrap,包裹
77,7454918011,Ball,球
78,7454919011,Clip-Ons,夹扣
79,7454920011,Cuffs & Wraps,袖口和包边
80,7454922011,Drop & Dangle,垂坠式耳环
81,7454923011,Earring Jackets,耳环套
82,7454924011,Hoop,环状
83,7454925011,Stud,耳钉
84,7454928011,Chains,链条
85,7454929011,Chokers,领圈
86,10403493011,Collars,项圈
87,7454930011,Lockets,锁扣
88,7454931011,Pearl Strands,珍珠链
89,7454933011,Pendants,吊坠
90,7454932011,Pendant Enhancers,吊坠增强器
91,7454936011,Strands,项链串
92,7454938011,Y-Necklaces,Y 形项链
93,7454940011,Bands,表带
94,7454941011,Stacking,堆叠式
95,7454942011,Statement,声明
96,9539902011,Anniversary Rings,周年纪念戒指
97,9539895011,Bridal Sets,新娘套装
98,9539896011,Engagement Rings,订婚戒指
99,9539903011,Eternity Rings,永恒戒指
100,9539897011,Promise Rings,许愿戒指
101,9539898011,Ring Enhancers,戒指增强器
102,9539899011,Wedding Bands,结婚戒指
103,17880314011,Body Chains,身体链
104,17880324011,Dental Grills,牙套
105,17880325011,Faux Body Piercing Jewelry,仿人体穿孔饰品
106,17880315011,Piercing Jewelry,穿孔饰品
107,17880326011,Toe Rings,脚趾环
108,7454909011,Charm Bracelets,吊饰手链
109,7454913011,Charms,吊饰
110,17880316011,Barbells,倒钩
111,17880317011,Plugs,插头
112,17880318011,Retainers,固定器
113,17880319011,Rings,戒指
114,17880320011,Screws,螺钉
115,17880321011,Studs,螺柱
116,17880322011,Tapers,锥体
117,17880323011,Tunnels,隧道
118,7454910011,Italian Style,意大利式
119,7454911011,Link,链接
120,7454912011,Snake,蛇形
121,7454914011,Bead,串珠
122,7454915011,Clasp,搭扣
123,7454916011,Italian Style,意大利式
124,3887881,"Clothing, Shoes & Jewelry - Men - Jewelry",服装、鞋类及珠宝 - 男士 - 珠宝
125,3888081,Bracelets,手链
126,3888131,Cuff Links,袖扣
127,3888141,Earrings,耳环
128,3888121,Necklaces,项链
129,3888171,Rings,戒指
130,3888381,Shirt Studs,衬衫钉
131,3888391,Tie Clips,领带夹
132,3888411,Tie Pins,领带夹
133,9539904011,Wedding Rings,结婚戒指
134,17880327011,Body Jewelry,身体饰品
135,3888091,Cuff,袖口
136,3888101,Identification,标识
137,3888111,Link,链接
138,17880337011,Dental Grills,牙箍
139,17880338011,Faux Body Piercing Jewelry,仿人体穿孔饰品
140,17880328011,Piercing Jewelry,穿孔饰品
141,17880339011,Toe Rings,脚趾环
142,17880329011,Barbells,倒钩
143,17880330011,Plugs,塞子
144,17880331011,Retainers,固定器
145,17880332011,Rings,戒指
146,17880333011,Screws,螺钉
147,17880334011,Studs,螺柱
148,17880335011,Tapers,锥体
149,17880336011,Tunnels,隧道
